"name", "basic_info", "cost_info", "avg_stars"
강남 녹스 호텔, "사장님 한마디 1.전객실최신온라인게임가능(노하드pc)2.휘트니스센터,세탁실24시간운용3.강남최고의스위트룸,로얄스위트룸,펜트하우스보유 혜택안내요금할인주차장 정보주차장이 협소한 관계로 주차로 우선주차 이며주차장이 없을 경우 외부 유료주차장을 이용해주세요총 16대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 역삼역9호선 언주역객실내부 시설스탠다드 ,디럭스 기준인원 2명 (추가인원 불가)프리미엄 기준인원 2명 최대인원2명 (추가인원 1인당 10,000원)스위트룸 (단층 1202호) 기준인원 2명 최대인원2명로얄 스위트룸 (복층 1201호) 기준인원 2명 최대인원2명로얄 스위트룸 (수영장 301호) 기준인원 2명 최대인원2명로얄 스위트룸 (수영장 301호) 이용시 수영장 물 온도는 25도 28도 사이 입니다 물 온도는 임의로 변경이 불가하니 착오 없으시기 바랍니다스위트룸 (단층), 로얄스위트룸 (수영장), 로얄 스위트룸 (복층) 이용시 음악 및 스피커 사용은 PM11시 까지만 가능합니다.스위트룸 노래방 이용 가능합니다.1객실 당 주차 1대만 가능 합니다 (전 객실 모두 동일)여기어때 회원혜택은 제휴점 내규에 의거합니다 미성년자 예약으로 인한 입실거부는 취소환불이 불가합니다프런트 및 그 외 시설2층 로비에 각종 음료와 커피,그리고 차 한잔의 여유지하3층 세탁시설", 30,000, 9.3
역삼 브라운도트, "사장님 한마디 객실은 랜덤배정으로 상품 이미지와 다를 수 있습니다.주차는 1객실당 1대만 가능하며, 특수차량(튜닝카,스포츠카,승합차,대형차량일부전기차)등 주차타워 이용이 불가능한 차량은 주차이용이 불가능 합니다.전체 판매상품은 기본 2인 기준이며, 일부객실에 한하여 추가 인원 이용이 가능하며, 추가 요금이 발생합니다.해당 매장 이용시 매장 및 객실 내 손상이 발생할 경우 법적 책임을 물을 수 있습니다.이용안내에 명시된 내용으로 인한 취소 및 환불은 불가능합니다.퇴실시간 시간당 추가 요금이 발생합니다. 일부 상항에따라 시간추가가 안될수있으니 프론트 문의 바랍니다. 넷플릭스 웨이브 티빙 디즈니 플러스 무료이용 가능하십니다. (디즈니 플러스는 스위트객실만 이용가능)주차장 정보주차시 당호텔은 기본적으로 기계식리프트주차입니다리프트진입이 안되면 추가요금 만원이 발생할 수 있습니다.(프리미엄,스위트제외)슈페리얼객실이용시 해당리프트 진입이 안되는차량(튜닝카, 스포츠카, 승합차, 대형차량)공차중량이나 길이가 주차타워 기준에 맞지않아 이용이 불가능한 차량(전기차일부,대형세단,대형suv)리프트 이용을 원치 않는차량꼭 당호텔에 미리문의바랍니다.객실이용시 미리 주차안됩니다.총 20대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역프런트 및 그 외 시설편의 시설루프탑 운영중 루프탑 패키지 구매시 단독 이용가능(바베큐 그릴운영중, 부수적인 음료 및 음식, 식기류는 개인적으로 준비하셔야합니다.)전객실 netflix,wavve,tning, wifi 무료이용 가능전객실 무선 충전기 설치일부객실 스타일러 이용가능전객실 향균 ACE침대전체 건물, 전객실 금연구역 운영중비대면이 생활화된 시기에 맞는 키오스크 운영중주차는 1객실당 1대만 가능하며, 특수차량(튜닝카, 스포츠카, 승합차, 대형차량)등 주차타워 이용이 불가능한 차량은 주차이용이 불가능전체 건물 및 전객실 프리미엄 방역업체 세스코의 방역관리와 쾌적한 이용 환경을 제공", 70,000, 9.7
역삼 스타 프리미어, "사장님 한마디 전 객실 넷플릭스 무료시청 가능, 전 객실 pc이용 가능배틀그라운드, 오버워치 등 유료게임 이용 시 본인이 구매한 계정을 소유하고 있어야합니다.전 객실 최대 인원 2인이며, 3인 이상 혼숙 불가합니다(코로나 단계에 따라 스위트B, 트윈룸은 동성 3인까지 가능)미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가) 주차장 정보 정문 1층 주차장 발렛 파킹 주차서비스 가능객실 당 주차 1대 가능입실시간 외에 미리 주차는 안됩니다.총 23대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역주변 정보객실은 부티크 호텔 특성 상 이미지와 다른 객실이 배정될 수 있습니다.객실 지정은 불가 합니다 (체크인 시 랜덤 배정)입실 시간 외에 미리 주차는 불가 합니다.객실 당 차량 1대 주차 가능합니다.(단, 도보 전용특가 객실은 주차 불가)숙박 12시간 기준입니다. (단 AM 03:00 이후 체크인 시 10시간 제공)체크 아웃 시간 이후 퇴실 시 자동으로 추가 요금 부과됩니다.전 객실 최대 인원 2인.( 단, 스위트B트윈룸은 3인까지 가능하나 인원 추가 요금 발생)오버워치, 배틀그라운드 등 유료 게임 이용 시 본인이 구매한 계정을 소유하고 있어야 합니다.객실 키 분실 시 분실료가 부과 되니 외출 시 프런트에 보관 바랍니다.미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가)연박 시 추가 요금 발생합니다.(호텔 측에 문의)반려 동물 동반 입실 불가 합니다.자세한 사항은 호텔로 문의 주세요객실내부 시설객실은 부티크 호텔 특성 상 이미지와 다른 객실이 배정될 수 있습니다. (객실 지정 불가)정원 2명 유지하면서 객실 릴레이 사용 금지미성년자는 입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능)스위트B와 트윈룸만 인원 추가 시 동성 최대 3인 이용 가능합니다연령을 떠나 가족 이외에는 3인실 혼숙 불가(가족일 경우 가족관계 증명서 제출)신분증 요청 시 실물 신분증을 제시해주셔야 합니다 (사진으로는 입실 불가)프런트에 맡기지 않은 귀중품은 책임지지 않습니다 체크아웃 시간 30분 초과 퇴실 시 추가 요금 부과됩니다.1층에서 와인잔, 오프너 대여해드립니다.숙박의 경우 AM 03:00 이후 체크인 시 10시간 제공 됩니다.전 객실 최대 인원 2인 (스위트B, 트윈룸은 동성 3인까지 가능) 게임룸 경우 유료 게임 이용 시 본인 계정 필요. 게임룸 노하드PC로 설치된 게임 이외의 게임 이용시 미리 문의 바랍니다.분실물은 습득일로부터 2주간 보관하며 이후엔 폐기처분합니다.객실 키 분실 시 분실료 부과되오니 외출 시 프런트에 보관바랍니다.반려동물 입실 절대 불가미성년자는 절대입실 불가합니다 (2023년 기준, 생일이 지난 2004년생 부터 입실가능 이를 어기고 예약 시 환불 불가)자세한 사항은 호텔로 문의 주세요프런트 및 그 외 시설 전 객실 넷플릭스 무료 시청가능 (호텔 계정 제공 단, 이용 인원이 많을 시 추가 제공은 어렵습니다) 전 객실 PC이용 가능(도보전용, 스탠다드, 디럭스, 트윈, 스위트 객실 노하드PC) 게임룸 객실 오픈! 최고사양 2PC (7.1ch 진동 게이밍 헤드셋 대여 가능) 전 객실 최고급 침구류, 비데, 공기 청정기 비치 스위트 객실 스타일러, 안마의자, 전자렌지 비치 TV와PC 연결 가능, WiFi free ,전 객실 고데기, 스킨로션 비치 전 객실 고속 무선 충전기 비치 완료(호환이 안되거나 추가로 충전기가 필요하시면 프런트에서 무상 대여 해드립니다)", 25,000, 9.2
역삼 아드리게, "주차장 정보주차 불가차량 : SUV차량, RV차량, 튜닝차량, 구형 에쿠스주차시설을 보유한 숙소입니다.(차량 이용 시 숙소에 문의해 주세요.)지하철 정보2호선 역삼역9호선 언주역", 40,000, 9.1
역삼 린, "사장님 한마디 전객실 노하드 넷플릭스 공기청정기라텍스메트리스완비고사양 배그풀옵션pc완비최고급파티룸완비예약전 반드시 확인해주세요!모든 객실 타입별 랜덤 배정입니다예약을 해주셨어도 객실상황에 따라 대기하실 수 있습니다예약시간 이외 입실 또는 퇴실시 시간당 1만원의 추가요금이 자동으로 발생됩니다.일회용품은 체크인시 프론트에서 별도로 1,000원(2인세트)에 구매바랍니다.오후 8시이후 파티룸 스위트룸 노래방기계 사용이 제한됩니다 혜택안내요금할인객실문에 부착된 여기어때 혜택마크를 찾아 QR코드로 혜택받으세요.주차장 정보 주자창 정보주차장 보유 여부 : 보유 (15대) 추가 안내사항 총15대 주차시설보유 1객실당 차량1대 무료, 추가시 20,000원이 발생됩니다.예약하시는 고객님들은 입실시간에 맞춰서 주차가능합니다.미리주차 또는 늦은퇴실시 주차요금 20,000원이 발생됩니다.총 15대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설전객실 노하드 넷플릭스 공기청정기 라텍스침대모든 객실 타입별 랜덤 배정입니다예약을 해주셨어도 객실상황에 따라 대기하실 수 있습니다예약시간 이외 입실 또는 퇴실시 시간당 1만원의 추가요금이 자동으로 발생됩니다.일회용품은 체크인시 프론트에서 별도로 1,000원(2인세트)에 구매바랍니다.차량1대 무료, 차량1대 추가시 20,000원 발생됩니다.연박 가능합니다.라텍스 퀸사이즈 침대에서 편하게 쉴수 있는 공간을 호텔 린에서 만들어 드리겠습니다.최신 영화 드라마 다시보기 서비스 진행중 입니다.단체모임 , 친목모임, 연인분들 이벤트 , 파티 등 하실수 있는 파티룸입니다.주변기기(블루투스 스피커 및 빔 프로젝터,미러볼 등)는 분실로 인하여 비치하지 않고 있습니다.개별준비 바랍니다.4인 기준 최대8인(5인입실부터 인당 20,000원 추가비 발생)추가인원 발생시 추가이불 2개까지만 제공됩니다.1대 무료주차, 1대 추가시 20,000원 주차요금 있습니다.넓은 바테이블 , 라텍스 퀸사이즈 트원 침대노래방이용은 20시 이후 다른 손님들을 위해 이용 불가합니다.예약시 0234540666 꼭 문의해주세요. 많은 예약 부탁드립니다.20시 이후 노래방이용 불가하며 사용시 강제퇴실 조치를 취할수밖에 없으니 주의 부탁드립니다.4. 전객실 pc 1대이며 고사양게임을원하시는분들은 배그pc로 예약해주시고입실시 프론트에 문의바랍니다.", 30,000, 9.2
역삼 A-NA HOTEL, "사장님 한마디 연박 연박 시 추가요금 발생 공휴일 마찬가지로 추가요금 부과 주차 반드시 차량 있으면 차량가능 전용상품 예약필수 특수차량(스포츠카, 대형SUV, 승합, 트럭, 튜닝카 등) 사전문의 필수 1 객실 1 대 주차 O 1 객실 2 대 주차 X 입실시 1. 차량 STOP 2. 차키 PASS 3. 발렛 SERVICE 퇴실시 1. 퇴실 10분전 객실 내 차량대기 버튼 PRESS 2. 차량 준비 후 객실로 CALL 3. 마지막까지 최고의 발렛 SERVICE 주차장 정보총 9대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 역삼역수인분당선 선릉역객실내부 시설친환경 최고급 ACE침대Modern 수입가구SK 브로드밴드 Giga Internet Btv Giga WifeBtv 다시보기 VOD SERVICESAMSUNG 55 inch TV65 or 75 inch SMART TV3in1 멀티 고속 충전", 40,000, 9.1
강남 카파쓰, "사장님 한마디 전 세계 해외 방문객과 함께하는 최고의 호텔역삼동 카파쓰 호텔입니다.전 객실 ACE 침대, CESCO 인증관리 중이며,모든 객실은 금연입니다.카파쓰 호텔에서는 코로나 바이러스 전염 예방 및 전파 방지를 위해 조식 서비스 제공을 잠정적으로 중단하게 되었습니다. 이점 양해 부탁드립니다. 혜택안내요금할인주차장 정보만차 전 선착순 객실당 주차 1대 가능 하며 코로나 감염방지로 셀프발렛입니다. 그외 고가의 수입차량,스포츠카,특수대형차량은 방문전 필히 사전문의 바랍니다벤틀리,롤스로이스,페라리,람보르기니,마이바흐,포르쉐 등등 1억 이상 고가수입차는 전용주차 공간 이용료 50,000원 추가 발생되며 만차시 주차불가이기에 필히 사전 문의 없이 발생된 분쟁에 대하여 당호텔은 일절 책임지지 않으니 협조와 주의 부탁드립니다.카니발급 이상 대형SUV,승합,트럭 고가 스포츠카,특수차량은 주차불가 하며,주차시 1박당 30,000원 추가요금이 발생됩니다.차량 추가비용 1대 : 30,000원 (체크인 전, 체크아웃 이후 시간당 : 10,000원 추가요금,1억이상 수입차는 체크아웃 이후 주차시 시간별 주차요금과 전용 주차공간 이용료 50,000원이 각각 재청구가 되오니 필히 주지 바랍니다.)도보 전용 상품으로 예약시 주차비 30,000원이 추가 발생됩니다.총 26대 주차시설 보유지하철 정보2호선 선릉역2호선 역삼역수인분당선 선릉역주변 정보2호선 역삼역 1번출구 테헤란로 방향 5분거리객실내부 시설전 객실 금연이며, 흡연시 10만원 과태료 부과 됩니다.객실 내 물품 반입시 당 호텔 프론트로 문의를 해주셔야 하며, 당 호텔의 동의없이 물품반입은 불가합니다.어떠한 경우라도 호텔 및 객실 내 손상으로 재산상의 손해가 발생될 경우 법적인 책임을 물을 수 있습니다.추가 안내사항안내된 객실요금 오류 발생시 해당일 요금 기준하여 차액이 청구됩니다. (현장결재)객실은 지정 불가 합니다. (체크인 시 랜덤 배정)인원 추가시 1인당 2만원이 발생합니다.(미취학 아동은 무료)전 객실 금연이며 , 흡연시 10만원 과태료 부과 됩니다.전 객실 반려동물 입실 불가이며 , 발견시 10만원 과태료 부과 됩니다.미성년자는 보호자 동반 없이 이용 할 수 없습니다미성년자 예약시 입실 거부되며 이로 인한 환불은 불가 합니다.3인이상 혼숙은 불가합니다.(사전문의 없이 예약시 환불 및 취소가 불가합니다.)객실 내 물품 반입시 당 호텔 프론트로 문의를 해주셔야 하며, 당 호텔의 동의없이 물품반입은 불가합니다.어떠한 경우라도 호텔 및 객실 내 손상으로 재산상의 손해가 발생될 경우 법적인 책임을 물을 수 있습니다.", 58,000, 9.2
역삼 마리호텔, "사장님 한마디 프렌치 살롱 스타일의 Elegant 하고 Economical한 호텔 주차장 정보주차장 보유숙소 입니다.총 40대 주차시설 보유지하철 정보2호선 선릉역2호선 역삼역수인분당선 선릉역주변 정보역삼역2호선 부근역삼 센터필드 도보 2분선릉과정릉 차량 6분삼성동 코엑스 차량 10분객실내부 시설킹사이즈 라텍스매트리스 무료미니바55SMART TVNETFLIX TVING OTT SERVICE스팀다리미 무료 대여서비스프런트 및 그 외 시설LOBBYFRANKE IKOVOX COFFEE무료주차 서비스(VALLET SERVICE)", 70,000, 9.7
삼성 JS, "혜택안내요금할인주차장 정보 객실 이용시 객실당 주차 1대가능 합니다.(2대 입실 불가)도보전용구매후 주차하실때 2만원 따로부과됩니다주차시간은 입,퇴실시간에만가능 어길시 주차요금 따로부과됩니다총 17대 주차시설 보유지하철 정보2호선 선릉역주변 정보서울특별시 강남구 선릉로92길 3752호선수인분당선 선릉역 10번 출구 도보 5분거리 2호선 삼성역(코엑스) 도보 10분거리서울선릉과정릉 공원 입구까지 도보 2분객실내부 시설일반실 50인치 TV특실 65인치 TV VIP 객실 75인치 TV(스타일러) 전객실 넷플릭스, 유튜브등 OTT 프로그램 무료 시청가능 전객실 욕조,비데 설치 완료전객실흡연가능프런트 및 그 외 시설 무인 키오스크로 비대면 체크인 24시간 직원 근무(미성년 입장불가, 신분증 미지참시 강제 퇴실조치 및 환불불가) 전 객실 2인 입실 기준이며, 3인 이상 입실시 입실 불가,강제 퇴실조치 (취소 및 환불불가) 이용에 참고 부탁드립니다. 객실 이용시 객실당 주차 1대가능 합니다.(2대 입실 불가) 전객실 욕조 이용가능(비데) 성수기 및 특정일, 공휴일(전일 포함)에는 요금 변동이 있을 수 있습니다.", 40,000, 9.4
선릉 베드스테이션, "사장님 한마디 연박이용고객님들은추가요금없이종일사용가능합니다.3인이상남녀혼숙금지!가족제외(증명이필요합니다)미성년자입실불가능합니다호텔측사정에의한취소발생시100%전액환불처리됩니다호텔측사정으로객실정보가수시로변경될수있습니다(객실정보변경에대한불이익은당사가책임지지않습니다) 주차장 정보 기계식 주차장은 준,중형 국산 승용차만 가능합니다. 외부 주차공간이 협소하니 그외 차량 이용시 전화 문의주세요.총 15대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 선릉역수인분당선 선릉역주변 정보 선릉,정릉 도보1분 코엑스 도보 10분 선릉역 도보 3분객실내부 시설최신 영화 다시보기전채널 최신 TV 다시보기전객실 고사양 PC고사양 게임 ( 배틀그라운드 )고데기 대여 해드립니다더블더블 객실은 전화문의바람프런트 및 그 외 시설로비커피머신 완비물,음료 별도 요금 없이 무료로 제공 하고 있습니다", 25,000, 9.1
선릉 그레이호텔, "혜택안내요금할인주차장 정보차량방문시 1객실당 1대만 주차가능합니다.만차시 주차는 불가하며 인근 공영주차장을 이용부탁드립니다.어플 예약시 만차상태라 도보방문으로 이미 예약을한 건에는 (차량) 주차가 절대 불가합니다.만차가 아니더라도 디럭스(차량불가객실)로 예약시 주차불가, 차량방문으로 예약해도 디럭스(차량불가)객실로 예약하면 주차불가합니다.반드시 주차가능한객실과 차량방문으로 예약해야만 주차가능합니다필히 주차가 필요하신 경우엔 숙소에 꼭 먼저 문의하시길 바랍니다!차량예약시 입실시간 맞춰 주차가능합니다퇴실시간 이후 차량 미출차시 퇴실시간부터 추가요금 부과됩니다.총 5대 주차시설 보유지하철 정보2호선 선릉역주변 정보선릉역1번출구도보3분객실내부 시설전객실 입실시 랜덤배정되며 사진과 다를수 있습니다숙박 체크인시 예약자명과 예약번호를 확인 후 입실 가능합니다.객실내에는 샴푸, 린스, 바디워시 무상제공그 외 세면도구 및 일회용품은 프론트에서 별도구매 (정가2천원,환불불가)기본숙박칸(연박불가)으로 연박예약시 기본숙박과 연박전용예약과의 차액만큼 추가요금 이 부과됩니다.(연박은 연박전용탭이 있는 디럭스,디럭스객실만 가능합니다)대실이용시 숙박으로 요금추가 변경불가하며 숙박으로 변경시 다시 숙박요금전액을 결제하셔야합니다.늦대실 이용시 밤11시가 넘어가는 순간 숙박요금전액이 부과되므로퇴실시간을반드시 준수 바랍니다.객실당 2인기준 요금이며 코로나19로 인하여 정원초과는 불가합니다. 보고없이 추가인원적발시 과태료 청구와 환불없이 즉시 강제퇴실조치합니다.신분증확인요구시 미지참시 출입불가 (취소환불불가)하므로 이점양해바랍니다.객실키 분실시 분실료가 부과되오니(2만원) 외출시 프론트에 맡겨주세요.객실이용시 객실내시설물(린넨류포함)등 훼손시 과태료가 청구되오니 이점 양해바랍니다, 염색 금지얼리체크인과 레이트 체크아웃시 추가요금 발생됩니다. (빠른입실과 퇴실시간이 지난경우)얼리체크인시:디럭스,디럭스객실:30분이내(5,000원),30분이상~1시간이내(1만원)그이상은 디럭스,디럭스기준 시간당 1만원부과(추가요금은 호텔사정에따라 변동될수 있습니다)스위트30분8천원 1시간15,000원부과됩니다(주말에는 대실비가 추가됩니다)단, 레이트 체크아웃시:객실종류에따라 시간당으로 추가요금부과됩니다이용시간이후 연장할경우 시간연장인지 대실연장인지 결정후 미리 프론트에 알려주셔야합니다그렇지않을경우 시간연장으로 간주하여 시간당또는 대실요금 으로 부과됩니다고객 부주의로 일어난 사고에 대해서는 그레이에서 책임지지 않습니다.그레이호텔은 금연건물입니다. 흡연 시 과태료 10만원이 부과됩니다.정원2명유지하면서 객실 릴레이 이용은 불가합니다.(최초입실자2명외입실금지)동물 식물 입실 절대 금지. 입실시 환불없시프런트 및 그 외 시설퇴실됩니다.로비에서 커피베이커리 각 얼음 이용가능.로비에 A waiting seat여기어때앱으로 결제예약한 경우 그레이호텔은 여기어때 규정에 따르고있습니다.숙박이용시간(심야시간)에 타고객에게 민폐를 끼칠경우 환불없이 강제퇴실조치하오니 양해바랍니다법적기준 미성년자는 이용불가, 보호자 동반 시에도 입실 불가신분증확인요구시 미지참시 출입불가 (취소환불불가)하므로 이점양해바랍니다.(신분증 사진은 인정 안됨)실물신분증 실물여권 실물운전면허증만 인정됩니다.전객실 입실시 랜덤배정되며 사진과 다를수 있습니다충전기와 와인오프너는 프론트에서 무료대여가능합니다. (충전기 대여 시 신분증 보관 필수)WiFi free ,전객실 매직기넷플릭스는 개인계정 이용하여 셋탑박스로 시청 가능객실내 킥보드 자전거 입실 불가능.욕조있는 객실 입욕제 사용 불가능( 착색시 비용 청구)", 40,000, 9.5
대치 컬리넌, "혜택안내요금할인주차장 정보투숙객 차량 1대까지 무료 발렛파킹총 25대 주차시설 보유지하철 정보2호선 삼성(무역센터)역2호선 선릉역수인분당선 선릉역객실내부 시설전객실 입실시 랜덤배정되며 사진과 다를수 있습니다보고없이 추가인원적발시 과태료 청구와 환불없이 즉시 강제퇴실조치합니다.신분증확인요구시 미지참시 출입불가 (취소환불불가)하므로 이점양해바랍니다.객실키 분실시 분실료가 부과되오니 외출시 프론트에 맡겨주세요..정원2명유지하면서 객실 릴레이 이용은 불가합니다.(최초입실자2명외입실금지)프런트 및 그 외 시설여기어때앱으로 결제예약한 경우 컬리넌호텔은 여기어때 규정에 따르고있습니다.", 30,000, 9.3
강남 데미안, "사장님 한마디나홀로 패키지 객실은 1인 입실 기준 객실입니다.필히 확인 후 예약 부탁드립니다.주차장 정보정문 1층 야외주차 4대 정문 지하주차장 4대3층 후문 야외주자창 6대인근협력업체 주차 5대총 19대 주차시설 보유지하철 정보2호선 역삼역3호선 매봉역수인분당선 한티역주변 정보강남 세브란스 변원 도보 5분거리객실내부 시설연박 이용 시 추가요금 30,000원 있습니다.모든 추가 결제는 현장에서 진행됩니다.추가 안내사항데미안호텔 규정신분증 미 지참시 입실이 거부 될수 있으며 이로 인해 입실을 하지 못 할 경우 취소나 환불 불가합니다.전객실은 2인 기준 요금이며 2인까지 입실가능합니다.디럭스 1인 스위트 스위트 트윈 2인 추가가능(인원추가 요금 2만원, 침구 추가요금 1만원)객실당 주차 1대 가능연박 이용시 추가 요금 객실별, 요일별 상이합니다.모든 추가 결제는 호텔에서 진행합니다.", 30,000, 9.2
양재 데님 호텔, "주차장 정보1객실 당 1대 주차가능(초과시 현장에서 추가금액 발생합니다.)총 40대 주차시설 보유지하철 정보3호선 양재(서초구청)역3호선 매봉역수인분당선 구룡역신분당선 양재역신분당선 양재시민의 숲역", 40,000, 8.7
강남 제리스플래닛, "사장님 한마디 여기어때 회원 혜택은 어플로 결제하셨을 경우에만 적용됩니다.숙박예약은 미리 예약이 안됩니다. 당일 어플로 예약이 됩니다. 당일 예약이 안되시면 마감입니다.어플 또는 결제관련 오류에 대해서는 여기어때 고객센터로 문의해 주시기 바랍니다.방문해주시는 고객님들께 언제나 감사드립니다. 좋은 하루 되세요 . 혜택안내요금할인주차장 정보 기계식 주차장 (SUV 같은 대형 차종은 사전에 문의 부탁드립니다.) 입실 시간 이전 선주차가 불가, 이 점 양해 부탁드립니다. 0 차량은 한대씩만 주차 가능합니다. 제리룸 객실 이용시에만 최대 2대 이용가능주차장 미보유 숙소입니다. 도보로 이용해 주세요.지하철 정보2호선 역삼역2호선 강남역9호선 신논현역신분당선 강남역객실내부 시설Jerrys room (파티룸) 6명 숙박 가능 (6인 이상 금지) 바베큐 이용 불가 게임기, 반신욕장, 빔 프로젝트 이용가능 정수기 및 냉장고, 전자렌지 이용 가능. 자세한사항은 025554204로 문의바랍니다. 2023년 4월 12일부로 전객실 침구류 새걸로 교체 진행하였습니다.", 30,000, 9.4
역삼 트리아, "사장님 한마디 호텔 트리아는 서울특별시 강남구 역삼동에 위치하고 있으며, 서울 여행을 위한 최적의 장소입니다.이곳에서 생동감 넘치는 도시의 많은 것을 최대로 즐길 수 있습니다. 본 숙소는 조이 골프백화점, 라인 갤러리, 헬로우 뮤지엄 등과 같은 도시의 주요 명소들과 가까운 거리에 있어 투숙객이 편리한 여행을 즐길 수 있습니다.24시간 프런트데스크, WiFi (무료), 여행 가방짐 보관 서비스 등의 고객 편의 서비스를 갖추고 있습니다.전 객실 평면 TV, 거울, 슬리퍼, 타월, 무선 인터넷 (무료) 등을 제공드리며, 본 숙소 투숙 기간 다양한 여가 시설 등을 이용할 수 있습니다. 호텔 트리아의 좋은 위치와 서비스를 충분히 즐기며, 즐거운 서울 여행이 되시길 바랍니다. 혜택안내요금할인주차장 정보(1)1객실당 1대만 주차 가능 합니다.(2)차량 추가시 대실2만원 숙박1박당 3만원 의 추가비용이 발생합니다.(3)화물차(사이즈가 큰 차량), 튜닝카,고가 스포츠카는 주차 불가능합니다.또는 지상주차장을이용 하되, 추가 요금이 발생됩니다.예약하시기전 참고 부탁드립니다.(4)만차시에는 주차가 불가능 합니다(5)주차관련 예약취소, 환불은 불가합니다.총 12대 주차시설 보유지하철 정보2호선 역삼역9호선 언주역객실내부 시설전 객실 넷플릭스 유튜브 시청 가능전 객실 미성년자 입실불가 (미성년자는 예약, 환불 및 취소가 불가합니다)최초입실자 2인 이외에는 입실불가 적발시 퇴실조치합니다체크인시 신분증을 반드시 지참하셔야 합니다. (프런트 확인요청시 미지참의 경우 이용불가 및 환불불가)프런트 및 그 외 시설전 객실 유무선 인터넷 (무료)객실지정예약불가(랜덤배정)생수 2병 제공 (무료)일회용품은 객실에 비치 되어 있습니다.기본 : 객실은 2인 1실", 30,000, 8.9
강남 멜리샤호텔, "혜택안내요금할인주차장 정보주차는 객실당 1대 가능합니다. (이벤트타입 불가)예약하신 입실시간 이후부터 주차 하실 수 있습니다. 퇴실 시간 이후에는 주차가 불가합니다. 차량이용불가 객실에 차량을 가져오신 경우, 미리주차나 추가 주차를 하시는 경우 주차관련 추가요금이 발생합니다. (20,000원)주차가능 객실이라도 예약을 도보로 하셨거나 만차일경우 차량 입차가 불가합니다.주차장 이용 관련하여 특이사항이 있으실 경우 호텔로 문의 부탁드립니다.총 8대 주차시설 보유현재 주차장 만차 도보로 이용해주세요.지하철 정보2호선 강남역신분당선 강남역객실내부 시설전객실 넷플릭스를 무료로 이용 가능합니다.전객실 욕조, 비데, 55인치 스마트TV, VOD , PC, 공기청정기 등의 시설을 갖추고 있습니다.최고급 구스다운 침구류와 새 린넨으로 편안한 잠자리를 경험해보세요.유럽 최고의 명품 브랜드 리날디 메모리폼 메트리스가 전객실 비치되어 있습니다.객실내 와이파이 무료 이용 가능합니다. 전객실 충전기가 비치되어 있습니다. 전객실 드라이기및 고대기가 설치되어 있습니다.프런트 및 그 외 시설 인원추가불가 및 입실시간 안내 호텔 내 전 객실이 2인 기준입니다.호텔 내부규정에 따라 처음 입실한 2인을 제외한 방문객의 객실입실이 절대 불가하오니 예약시 꼭 확인해주세요 (추가인원의 임의 입실 확인시 환불없이 강제 퇴실조치)객실 기준인원 이외의 투숙 및 인원 추가 역시 불가능 하니 이용에 참고해주세요예약상품 별로 입실 시간이 정해져 있습니다.사전 연락없이 입실시간보다 미리 방문하실 경우는 추가요금등을 결제 하셔도 입실이 불가능할수 있으니 빠른 입실이 필요하신 경우는 호텔로 사전에 연락을 부탁드립니다. (미리입실료는 통상 시간당 10,000원이며, 2시간 이상일 경우 대실료가 추가됩니다)추가적인 이용관련 궁금하신 사항 있으실 경우 호텔로 문의해주세요. 자체 방역 강화 기존에 진행해 오던 정기적인 객실 소독 각종 감염병 예방을 위해 위생관리의 질을 높이고자 추가적으로 내부 자체 방역을 실시하고 있습니다. 불특정 다수의 손길이 많이 닿는 각 손잡이부분 (로비의 현관문, 각 객실 도어락 및 손잡이, 카드키, 음료냉장고, 온장고, 전자렌지 등)과 엘리베이터 각 버튼을 수시로 소독하고 있으며, 프론트 및 셀프바, 엘리베이터 내부에 손소독제를 비치하여 각종 감염병 예방에 적극참여하고 있습니다. 기 타 렌즈통, 렌즈액 무상제공 해드립니다. 밴드,연고, 소화제,두통약등 간단한 의약품을 프론트에 구비하고 있습니다.우천시 우산 판매합니다. 갑작스런 비에 당황하지 마세요.일회용으로 제공되는 세면도구는 2인용1,000원에 판매하고있습니다.1층 로비에서 전자렌지 이용가능합니다. 다양한 종류의 커피및 음료가 로비층에 준비되어 있습니다.객실 요금 및 미성년자 이용 관련객실 요금 및 이용 시간은 호텔 내부 규정 및 당일 예약현황과 현장상황에 따라 사전 공지 없이 변동 될 수 있습니다.공휴일 및 특정일 요금의 변동이 있을 수 있습니다.현장결제 요금은 여기어때 할인 예약가와 차이가 있을 수 있습니다.가족이라 할지라도 일행", 40,000, 9.5
